UID2021,UTMX,UTMY,LatinName,CommonName,SpeciesID,PositionSt,lat,long
262,454079.31,4942236.56,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.6320178,-63.5789429
263,454084.05,4942238.77,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63203799,-63.57888334
264,454091.21,4942240.27,Ulmus glabra,Elm,121,Check position,44.63205195,-63.57879321
265,454095.41,4942241.82,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63206618,-63.5787404
266,454103.55,4942244.11,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63208731,-63.57863799
267,454117.87,4942249.22,Ulmus glabra,? American Elm,120,Good - Ground Truthed,44.63213423,-63.57845791
268,454141.04,4942232.04,Acer saccharum*,Sugar Maple,11,Good - Ground Truthed,44.63198105,-63.57816428
269,454144.83,4942217.6,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.6318513,-63.57811521
270,454143.01,4942213.74,Salix sp.,Willow,108,Good - Ground Truthed,44.63181644,-63.57813781
271,454146.51,4942208.58,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63177021,-63.57809322
272,454148.13,4942199.26,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63168641,-63.57807197
273,454148.81,4942196.59,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63166242,-63.57806316
274,454151.12,4942188.04,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.6315856,-63.57803327
275,454151.67,4942185.81,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63156556,-63.57802614
276,454152.45,4942183.23,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63154239,-63.57801607
277,454152.37,4942179.52,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63150898,-63.57801675
278,454153.1,4942166.26,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63138966,-63.57800636
279,454153.68,4942162.15,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.6313527,-63.57799868
280,454154.43,4942158.5,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63131989,-63.5779889
281,454155.04,4942154.7,Fraxinus ?,Ash,47,Good - Ground Truthed,44.63128572,-63.57798087
282,454156,4942147.87,Juglans ?,Walnut,57,Good - Ground Truthed,44.6312243,-63.57796816
283,454161.23,4942134.81,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63110707,-63.57790106
284,454161.63,4942132.59,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63108711,-63.57789582
285,454162.67,4942130.07,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63106449,-63.57788248
286,454156.63,4942111.2,Aesculus glabra,Ohio Buckeye,13,Good - Ground Truthed,44.63089424,-63.57795694
287,454160.34,4942112.05,Quercus robur,English Oak,102,Good - Ground Truthed,44.63090212,-63.57791025
288,454165.41,4942113.04,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63091136,-63.57784642
289,454164.53,4942115.91,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.63093714,-63.57785777
290,454160.12,4942120.46,Sorbus intermedia,Swedish Whitebeam,112,Good - Ground Truthed,44.63097782,-63.57791377
291,454164.02,4942121.61,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63098842,-63.57786471
292,454169.65,4942091.24,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63071539,-63.57779102
293,454170.19,4942088.41,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63068994,-63.57778396
294,454167,4942081.52,Alnus rugosa,Speckled Alder,15,Good - Ground Truthed,44.63062772,-63.57782356
